RequestID;EmpID;EmpName;Dept;Request_Date;Completion_Date;Request_Detail;PIC
REQ0001;103;Charlie Davis;HR;01/01/2024;09/01/2024;Payroll Issue;Sarah Supervisor
REQ0002;103;Charlie Davis;HR;01/01/2024;02/01/2024;Access Approval;John Manager
REQ0003;105;Eve Wilson;HR;01/01/2024;03/01/2024;Access Approval;John Manager
REQ0004;104;David Brown;HR;02/01/2024;10/01/2024;Payroll Issue;Sarah Supervisor
REQ0005;102;Bob Smith;HR;02/01/2024;04/01/2024;Benefit Claim;John Manager
REQ0006;105;Eve Wilson;HR;03/01/2024;;Benefit Claim;John Manager
REQ0007;101;Alice Johnson;HR;03/01/2024;10/01/2024;Payroll Issue;Sarah Supervisor
REQ0008;103;Charlie Davis;HR;03/01/2024;10/01/2024;Payroll Issue;John Manager
REQ0009;105;Eve Wilson;HR;03/01/2024;05/01/2024;Benefit Claim;John Manager
REQ0010;102;Bob Smith;HR;03/01/2024;04/01/2024;ID Card Replacement;John Manager
REQ0011;104;David Brown;HR;04/01/2024;12/01/2024;Benefit Claim;Michael Lead
REQ0012;105;Eve Wilson;HR;06/01/2024;16/01/2024;ID Card Replacement;Sarah Supervisor
REQ0013;104;David Brown;HR;06/01/2024;16/01/2024;Access Approval;Sarah Supervisor
REQ0014;103;Charlie Davis;HR;06/01/2024;12/01/2024;ID Card Replacement;Michael Lead
REQ0015;102;Bob Smith;HR;10/01/2024;12/01/2024;Benefit Claim;John Manager
REQ0016;103;Charlie Davis;HR;10/01/2024;13/01/2024;ID Card Replacement;Sarah Supervisor
REQ0017;105;Eve Wilson;HR;11/01/2024;12/01/2024;ID Card Replacement;John Manager
REQ0018;104;David Brown;HR;11/01/2024;12/01/2024;ID Card Replacement;Michael Lead
REQ0019;105;Eve Wilson;HR;12/01/2024;13/01/2024;Payroll Issue;Sarah Supervisor
REQ0020;102;Bob Smith;HR;12/01/2024;19/01/2024;Benefit Claim;
REQ0021;102;Bob Smith;HR;12/01/2024;19/01/2024;ID Card Replacement;Sarah Supervisor
REQ0022;104;David Brown;HR;13/01/2024;15/01/2024;Access Approval;John Manager
REQ0023;104;David Brown;HR;13/01/2024;19/01/2024;Payroll Issue;John Manager
REQ0024;102;Bob Smith;HR;14/01/2024;;Access Approval;Michael Lead
REQ0025;105;Eve Wilson;HR;14/01/2024;20/01/2024;Benefit Claim;Michael Lead
REQ0026;103;Charlie Davis;HR;14/01/2024;15/01/2024;ID Card Replacement;Michael Lead
REQ0027;101;Alice Johnson;HR;14/01/2024;19/01/2024;Benefit Claim;Sarah Supervisor
REQ0028;104;David Brown;HR;14/01/2024;21/01/2024;Benefit Claim;Michael Lead
REQ0029;103;Charlie Davis;HR;14/01/2024;21/01/2024;Benefit Claim;John Manager
REQ0030;104;David Brown;HR;15/01/2024;23/01/2024;ID Card Replacement;John Manager
REQ0031;102;Bob Smith;HR;16/01/2024;23/01/2024;Access Approval;Sarah Supervisor
REQ0032;102;Bob Smith;HR;16/01/2024;25/01/2024;Payroll Issue;Sarah Supervisor
REQ0033;103;Charlie Davis;HR;16/01/2024;22/01/2024;Access Approval;John Manager
REQ0034;105;Eve Wilson;HR;16/01/2024;25/01/2024;Payroll Issue;Michael Lead
REQ0035;103;Charlie Davis;HR;16/01/2024;19/01/2024;Benefit Claim;Michael Lead
