RequestID,EmpID,EmpName,Dept,Request_Date,Completion_Date,Request_Detail,PIC,Processing Days,SLA Compliance
REQ0001,103,Charlie Davis,HR,2024-01-01,2024-01-09,Payroll Issue,Sarah Supervisor,6,Miss
REQ0002,103,Charlie Davis,HR,2024-01-01,2024-01-02,Access Approval,John Manager,1,Pass
REQ0003,105,Eve Wilson,HR,2024-01-01,2024-01-03,Access Approval,John Manager,2,Pass
REQ0004,104,David Brown,HR,2024-01-02,2024-01-10,Payroll Issue,Sarah Supervisor,6,Miss
REQ0005,102,Bob Smith,HR,2024-01-02,2024-01-04,Benefit Claim,John Manager,2,Pass
REQ0006,105,Eve Wilson,HR,2024-01-03,2024-01-08,Benefit Claim,John Manager,3,Pass
REQ0007,101,Alice Johnson,HR,2024-01-03,2024-01-10,Payroll Issue,Sarah Supervisor,5,Miss
REQ0008,103,Charlie Davis,HR,2024-01-03,2024-01-10,Payroll Issue,John Manager,5,Miss
REQ0009,105,Eve Wilson,HR,2024-01-03,2024-01-05,Benefit Claim,John Manager,2,Pass
REQ0010,102,Bob Smith,HR,2024-01-03,2024-01-04,ID Card Replacement,John Manager,1,Pass
REQ0011,104,David Brown,HR,2024-01-04,2024-01-12,Benefit Claim,Michael Lead,6,Miss
REQ0012,105,Eve Wilson,HR,2024-01-06,2024-01-16,ID Card Replacement,Sarah Supervisor,6,Miss
REQ0013,104,David Brown,HR,2024-01-06,2024-01-16,Access Approval,Sarah Supervisor,6,Miss
REQ0014,103,Charlie Davis,HR,2024-01-06,2024-01-12,ID Card Replacement,Michael Lead,4,Miss
REQ0015,102,Bob Smith,HR,2024-01-10,2024-01-12,Benefit Claim,John Manager,2,Pass
REQ0016,103,Charlie Davis,HR,2024-01-10,2024-01-13,ID Card Replacement,Sarah Supervisor,3,Pass
REQ0017,105,Eve Wilson,HR,2024-01-11,2024-01-12,ID Card Replacement,John Manager,1,Pass
REQ0018,104,David Brown,HR,2024-01-11,2024-01-12,ID Card Replacement,Michael Lead,1,Pass
REQ0019,105,Eve Wilson,HR,2024-01-12,2024-01-13,Payroll Issue,Sarah Supervisor,1,Pass
REQ0020,102,Bob Smith,HR,2024-01-12,2024-01-19,Benefit Claim,Sarah Supervisor,5,Miss
REQ0021,102,Bob Smith,HR,2024-01-12,2024-01-19,ID Card Replacement,Sarah Supervisor,5,Miss
REQ0022,104,David Brown,HR,2024-01-13,2024-01-15,Access Approval,John Manager,0,Pass
REQ0023,104,David Brown,HR,2024-01-13,2024-01-19,Payroll Issue,John Manager,4,Miss
REQ0024,102,Bob Smith,HR,2024-01-14,2024-01-20,Access Approval,Michael Lead,5,Miss
REQ0025,105,Eve Wilson,HR,2024-01-14,2024-01-20,Benefit Claim,Michael Lead,5,Miss
REQ0026,103,Charlie Davis,HR,2024-01-14,2024-01-15,ID Card Replacement,Michael Lead,0,Pass
REQ0027,101,Alice Johnson,HR,2024-01-14,2024-01-19,Benefit Claim,Sarah Supervisor,4,Miss
REQ0028,104,David Brown,HR,2024-01-14,2024-01-21,Benefit Claim,Michael Lead,5,Miss
REQ0029,103,Charlie Davis,HR,2024-01-14,2024-01-21,Benefit Claim,John Manager,5,Miss
REQ0030,104,David Brown,HR,2024-01-15,2024-01-23,ID Card Replacement,John Manager,6,Miss
REQ0031,102,Bob Smith,HR,2024-01-16,2024-01-23,Access Approval,Sarah Supervisor,5,Miss
REQ0032,102,Bob Smith,HR,2024-01-16,2024-01-25,Payroll Issue,Sarah Supervisor,7,Miss
REQ0033,103,Charlie Davis,HR,2024-01-16,2024-01-22,Access Approval,John Manager,4,Miss
REQ0034,105,Eve Wilson,HR,2024-01-16,2024-01-25,Payroll Issue,Michael Lead,7,Miss
REQ0035,103,Charlie Davis,HR,2024-01-16,2024-01-19,Benefit Claim,Michael Lead,3,Pass
REQ0036,101,Alice Johnson,HR,2024-01-17,2024-01-23,ID Card Replacement,Sarah Supervisor,4,Miss
REQ0037,101,Alice Johnson,HR,2024-01-17,2024-01-24,Payroll Issue,Sarah Supervisor,5,Miss
REQ0038,103,Charlie Davis,HR,2024-01-18,2024-01-22,Benefit Claim,Michael Lead,2,Pass
REQ0039,103,Charlie Davis,HR,2024-01-18,2024-01-24,ID Card Replacement,John Manager,4,Miss
REQ0040,102,Bob Smith,HR,2024-01-18,2024-01-28,Benefit Claim,Sarah Supervisor,7,Miss
REQ0041,101,Alice Johnson,HR,2024-01-18,2024-01-28,Benefit Claim,Sarah Supervisor,7,Miss
REQ0042,104,David Brown,HR,2024-01-18,2024-01-19,Benefit Claim,John Manager,1,Pass
REQ0043,102,Bob Smith,HR,2024-01-19,2024-01-26,ID Card Replacement,John Manager,5,Miss
REQ0044,102,Bob Smith,HR,2024-01-19,2024-01-21,Access Approval,Sarah Supervisor,1,Pass
REQ0045,104,David Brown,HR,2024-01-19,2024-01-22,Benefit Claim,John Manager,1,Pass
REQ0046,101,Alice Johnson,HR,2024-01-20,2024-01-28,ID Card Replacement,John Manager,5,Miss
REQ0047,104,David Brown,HR,2024-01-20,2024-01-24,Benefit Claim,John Manager,2,Pass
REQ0048,105,Eve Wilson,HR,2024-01-20,2024-01-22,Access Approval,Michael Lead,0,Pass
REQ0049,101,Alice Johnson,HR,2024-01-20,2024-01-21,Benefit Claim,Sarah Supervisor,0,Pass
REQ0050,105,Eve Wilson,HR,2024-01-22,2024-01-27,Access Approval,John Manager,5,Miss
REQ0051,104,David Brown,HR,2024-01-22,2024-01-23,Payroll Issue,John Manager,1,Pass
REQ0052,103,Charlie Davis,HR,2024-01-22,2024-01-30,ID Card Replacement,Michael Lead,6,Miss
REQ0053,103,Charlie Davis,HR,2024-01-23,2024-01-31,Payroll Issue,Sarah Supervisor,6,Miss
REQ0054,103,Charlie Davis,HR,2024-01-24,2024-01-29,Access Approval,Michael Lead,3,Pass
REQ0055,103,Charlie Davis,HR,2024-01-24,2024-02-02,ID Card Replacement,John Manager,7,Miss
REQ0056,103,Charlie Davis,HR,2024-01-24,2024-01-31,Access Approval,Michael Lead,5,Miss
REQ0057,103,Charlie Davis,HR,2024-01-24,2024-01-27,Access Approval,Michael Lead,3,Pass
REQ0058,102,Bob Smith,HR,2024-01-25,2024-01-31,Access Approval,Michael Lead,4,Miss
